"P","SPP_name","mean_2010","mean_2050","mean_2080","refugia_count_cells","transition_count_cells","lost_count_cells","refugia_percent","transition_percent","lost_percent"
"Acadia National Park","paper birch","3.47","4.21","4","618","420","126","53.1","36.1","10.8"
"Saint-Gaudens National Historic Site","paper birch","0.12","1.37","1.58","0","6","2","0","75","25"
"Marsh-Billings-Rockefeller National Historical Park","paper birch","1.23","2.75","2.55","11","15","1","40.7","55.6","3.7"
"Cape Cod National Seashore","paper birch","0.01","0.04","0.04","8","7","3","44.4","38.9","16.7"
"APPA_Maine Central Mountains","paper birch","3.72","3.43","3.11","34124","14455","7712","60.6","25.7","13.7"
"APPA_Connecticut Lakes","paper birch","2.68","5.72","5.82","11430","4065","1832","66","23.5","10.6"
"APPA_Mahoosic Rangely Lakes","paper birch","4.16","5.75","4.5","24519","8721","5530","63.2","22.5","14.3"
"APPA_White Mountains","paper birch","6.53","5.86","6","20658","4655","3360","72","16.2","11.7"
"APPA_Southern Piedmont","paper birch","2.15","3.18","2.68","6489","6427","1939","43.7","43.3","13.1"
"APPA_Sunapee Uplands","paper birch","2.85","3.33","2.56","4083","3008","1331","48.5","35.7","15.8"
"APPA_Southern Green Mountain","paper birch","2.47","2.23","1.82","5785","3780","1859","50.6","33.1","16.3"
"APPA_Berkshire-Vermont Upland","paper birch","1.85","1.92","1.46","6757","5788","3148","43.1","36.9","20.1"
"APPA_Taconic Mountains","paper birch","1.08","1.61","1.46","3974","4316","1731","39.7","43.1","17.3"
"APPA_Hudson Highlands","paper birch","0.56","0.65","0.51","1806","1844","565","42.8","43.7","13.4"
"Acadia National Park","balsam fir","7.61","16.55","17.94","1443","438","11","76.3","23.2","0.6"
"Marsh-Billings-Rockefeller National Historical Park","balsam fir","4.57","5.82","1.96","5","14","3","22.7","63.6","13.6"
"Cape Cod National Seashore","balsam fir","0.14","0.43","0.5","15","50","0","23.1","76.9","0"
"APPA_Maine Central Mountains","balsam fir","13.46","25.77","24.66","58378","11426","960","82.5","16.1","1.4"
"APPA_Connecticut Lakes","balsam fir","18.61","34.52","36.62","17281","2819","163","85.3","13.9","0.8"
